NOM_COURT;NOM_LONG
NAME;Nom de la masse d'eau
EUCD;Numéro de la masse d'eau
ETATECOLOME;Etat Ecologique de la masse d'eau
NIVEAU;Niveau de confiance de l'état écologique de la masse d'eau
CAS;Cas de figure expliquant le niveau de confiance
ETATECOLOHPSME;Etat Ecologique (hors polluants spécifiques) de la masse d'eau
ETATBIOME;Etat Biologique de la masse d'eau
ETATPCHME;Etat Physico-chimique de la masse d'eau (identique à l'état PCH de la station)
ETATPSME;Etat des Polluants spécifiques de la masse d'eau (identique à l'état PS de la station)
STATION;Identifiant de la station
STATIONTXT;"Identifiant de la Station au format SANDRE (""0"" + 7caractères)"
ETATECOLO;Etat Ecologique de la station
ETATECOLOHPS;Etat Ecologique (hors polluants spécifiques) de la station
ETATECOLOHBO2;Etat Ecologique de la station (sans prise en compte du bilan O2)
ETATECOLOHPSETBO2;Etat Ecologique de la station (sans prise en compte des polluants spécifiques et du bilan O2)
ETATPCH_SSBILANO2;Etat Physico-chimique de la station (sans prise en compte du bilan O2)
ETATBIO;Etat Biologique de la station
ETATPCH;Etat Physico-chimique de la station
ETATPS;Etat des Polluants spécifiques de la station
IBD;Classe d'état de l'IBD de la station
IBG;Classe d'état de l'IBG de la station
IBGA;Classe d'état de l'IBGA de la station
IPR;Classe d'état de l'IPR de la station
CHLOA;Classe d'état de la Chlorophyle-a de la station
IPL;Classe d'état de l'IPLde la station
IMOL;Classe d'état de l'IMOL de la station
IOLB;Classe d'état de l'IOLB de la station
BILANO2;Classe d'état de l'élément de qualité : BILAN O2 de la station
NUT;Classe d'état de l'élément de qualité : NUTRIMENTS de la station
TRANSPA;Classe d'état de l'élément de qualité : TRANSPARENCE de la station
TEMP;Classe d'état de l'élément de qualité : TEMPERATURE de la station
ACID;Classe d'état de l'élément de qualité : ACIDIFICATION de la station
NONSYNTH;Classe d'état des polluants NON SYNTHETIQUES de la station
SYNTH;Classe d'état des polluants SYNTHETIQUES de la station
O2;Classe d'état du paramètre : O2 de la station
SATO2;Classe d'état du paramètre : Taux de saturation en O2 dissous de la station
DBO5;Classe d'état du paramètre : DBO5 de la station
COD;Classe d'état du paramètre : COD de la station
PO43;Classe d'état du paramètre : PO43- de la station
PHOS;Classe d'état du paramètre : Phosphore total de la station
NH4;Classe d'état du paramètre : NH4+ de la station
NO2;Classe d'état du paramètre : NO2- de la station
NO3;Classe d'état du paramètre : NO3- de la station
TEMPE;Classe d'état du paramètre : Température de la station
PHMIN;Classe d'état du paramètre : pH min de la station
PHMAX;Classe d'état du paramètre : pH max de la station
NO3V2;Classe d'état du paramètre : NO3- de la station selon grille AESN
TRANSP;Classe d'état du paramètre : transparence de la station
ARSENIC;Classe d'état du paramètre : Arsenic dissous de la station
CHROME;Classe d'état du paramètre : Chrome dissous de la station
CUIVRE;Classe d'état du paramètre : Cuivre dissous de la station
ZINC;Classe d'état du paramètre : Zinc dissous de la station
CHLORTOLURON;Classe d'état du paramètre : Chlortoluron de la station
OXADIAZON;Classe d'état du paramètre : Oxadiazon de la station
LINURON;Classe d'état du paramètre : Linuron de la station
24D;Classe d'état du paramètre : 2,4 D de la station
24MCPA;Classe d'état du paramètre : 2,4 MCPA de la station
CHLORDECONE;Classe d'état du paramètre : Chlordécone de la station (uniquement en DOM)
ASSOUPLI;Physico-chimie de la station assouplie
MODELISE;Physico-chimie de la station modélisée
NBINDICBIO;Niombre d'indicateurs biologiques présents
LISTINDICBIO;Liste des indicateurs biologiques présents
BIODECLASS;Liste des paramètres Biologiques déclassants
N_BIODECLASS;Nombre de paramètres bio déclassants
PCHDECLASS;Liste des paramètres physicochimiques déclassants (= moins que bon)
N_PCHDECLASS;Nombre de paramètres physicochimiques déclassants  (= moins que bon)
PCHASSOUP;Liste des paramètres physicochimiques déclassants assouplis  (= moins que bon)
N_PCHASSOUP;Nombre de paramètres physicochimiques déclassants  assouplis  (= moins que bon)
PSDECLASS;Liste des paramètres des polluants spécifiques déclassants  (= moins que bon)
N_PSDECLASS;Nombre de paramètres des polluants spécifiques déclassants  (= moins que bon)
ECODECLASS;Liste des paramètres Bio, PCH et PS déclassants  (= moins que bon)
N_ECODECLASS;Nombre de paramètres Bio, PCH et PS déclassants  (= moins que bon)
ECO_ORIGINDECLASS;Liste des paramètres Bio, PCH et PS déclassants  (= moins que bon et qui explique l'état)
N_ECO_ORIGINDECLASS;Nombre de paramètres Bio, PCH et PS déclassants  (= moins que bon  et qui explique l'état)
ANNEEMINPCH;Année minimale du jeu de données physico-chimiques
ANNEEMAXPCH;Année maximale du jeu de données physico-chimiques
ANNEEMINBIO;Année minimale du jeu de données biologiques
ANNEEMAXBIO;Année maximale du jeu de données biologiques
ANNEEMINPS;Année minimale du jeu de données des polluants spécifiques
ANNEEMAXPS;Année maximale du jeu de données polluants spécifiques
DOMAINE;Domaine piscicole de la station
TYPEFR;TYPE FR de la station
TYPESTAT;Type de station (MEFM, MEA, MEN) selon sa masse d'eau de rattachement
ALTITUDE;Altitude de la station en mètre
REPRESENTATIVE;Station représentative de la masse d'eau
EXCEPT_FROID;Exception typologique : station naturellement froide et peu alcaline
EXCEPT_CHAUD;Exception typologique : station naturellement chaude (HER6 et DOM)
EXCEPT_ACID;Exception typologique : station naturellement acide
EXCEPT_MO;Exception typologique : station naturellement riche en matière organique
EXCEPT_TOURB;Exception typologique : station en zone de tourbière
EXCEPT_O2;Exception typologique : station naturellement pauvre en O2
ECHELLESTA;Echelle géographique d'appartenance de la station
FONDGEO_ARSENIC;Valeur du fond géochimique : Arsenic
FONDGEO_CHROME;Valeur du fond géochimique : Chrome
FONDGEO_CUIVRE;Valeur du fond géochimique : Cuivre
FONDGEO_ZINC;Valeur du fond géochimique : Zinc
DURETE;Valeur de dureté
MODIFIED;Masse d'eau fortement modifiée (MEFM)
ARTIFICIAL;Masse d'eau artificielle (MEA)
ECHELLEME;Echelle géographique d'appartenance de la masse d'eau
RGLOBAL;Risque global de la masse d'eau
RMACRO;Risque macropolluants de la masse d'eau
RNIT;Risque nitrates de la masse d'eau
RPEST;Risque pesticides de la masse d'eau
RMICRO;Risque micropolluants de la masse d'eau
RMORPHO;Risque morphologique de la masse d'eau
RHYDRO;Risque hydrologique de la masse d'eau
RPHOS;Risque phosphore total de la masse d'eau
TYPEME;Type de masse d'eau (MEFM, MEA, MEN) déduit de MODIFIED et ARTIFICIAL
vIBD;Valeur moyenne de l'IBD de la station
vIBG;Valeur moyenne de l'IBG de la station
vIBGA;Valeur moyenne de l'IBGA de la station
vIPR;Valeur moyenne de l'IPR de la station
vCHLOA;Valeur moyenne estivale de Chlo-a de la station
vIPL;Valeur moyenne de l'IPL de la station
vIMOL;Valeur moyenne de l'IMOL de la station
vIOLB;Valeur moyenne de l'IOLB de la station
vO2;Valeur au rang 90 du paramètre : O2 de la station
vSATO2;Valeur au rang 90 du paramètre : Taux de saturation en O2 dissous de la station
vDBO5;Valeur au rang 90 du paramètre : DBO5 de la station
vCOD;Valeur au rang 90 du paramètre : COD de la station
vPO43;Valeur au rang 90 du paramètre : PO43- de la station
vPHOS;Valeur au rang 90 du paramètre : Phosphore total de la station
vNH4;Valeur au rang 90 du paramètre : NH4+ de la station
vNO2;Valeur au rang 90 du paramètre : NO2- de la station
vNO3;Valeur au rang 90 du paramètre : NO3- de la station
vTEMPE;Valeur au rang 90 du paramètre : Température de la station
vPHMIN;Valeur au rang 90 du paramètre : pH min de la station
vPHMAX;Valeur au rang 90 du paramètre : pH max de la station
vTRANSP;Valeur médiane de la Profondeur du disque de Secchi de la station
vARSENIC;Valeur moyenne du paramètre : Arsenic dissous de la station
vCHROME;Valeur moyenne du paramètre : Chrome dissous de la station
vCUIVRE;Valeur moyenne du paramètre : Cuivre dissous de la station
vZINC;Valeur moyenne du paramètre : Zinc dissous de la station
vCHLORTOLURON;Valeur moyenne du paramètre : Chlortoluron de la station
vOXADIAZON;Valeur moyenne du paramètre : Oxadiazon de la station
vLINURON;Valeur moyenne du paramètre : Linuron de la station
v24D;Valeur moyenne du paramètre : 2,4 D de la station
v24MCPA;Valeur moyenne du paramètre : 2,4 MCPA de la station
vCHLORDECONE;Valeur moyenne du paramètre : Chlordécone de la station (uniquement en DOM)
iETATECOLOHPS;Indice (0-100) de l'état écologique hors polluant spécifique (Indice le plus déclassant des états)
iETATBIO;Indice (0-100) de l'état biologique (Indice le plus déclassant des indicateurs)
iIBD;Indice (0-100) de l'IBD de la station
iIBG;Indice (0-100) de l'IBG de la station
iIBGA;Indice (0-100) de l'IBGA de la station
iIPR;Indice (0-100) de l'IPR de la station
iCHLOA;Indice (0-100) de Chlo-a de la station
iIPL;Indice (0-100) de l'IPL de la station (à partir de l’EQR, de la note ou de l’indice échelle DCE)
iIMOL;Indice (0-100) dee l'IMOL de la station
iIOLB;Indice (0-100) dee l'IOLB de la station
iO2;Valeur au rang 90 du paramètre : O2 de la station
QUARTCLASSE;L'état biologique peut-il bénéficier de la règle du 1/4 de classe ?
iETATPCH;Indice (0-100) de l'état physico-chimique (Indice le plus déclassant des paramètres)
iBILANO2;Indice (0-100) le plus déclassant de l'élément de qualité : Bilan de l'oxygène
iNUT;Indice (0-100) le plus déclassant de l'élément de qualité : Nutriments
iTEMP;Indice (0-100) le plus déclassant de l'élément de qualité :Température
iACID;Indice (0-100) le plus déclassant de l'élément de qualité : Acidification
iO2;Indice (0-100) du paramètre : O2 de la station
iSATO2;Indice (0-100) du paramètre : Taux de saturation en O2 dissous de la station
iDBO5;Indice (0-100) du paramètre : DBO5 de la station
iCOD;Indice (0-100) du paramètre : COD de la station
iPO43;Indice (0-100) du paramètre : PO43- de la station
iPHOS;Indice (0-100) du paramètre : Phosphore total de la station
iNH4;Indice (0-100) du paramètre : NH4+ de la station
iNO2;Indice (0-100) du paramètre : NO2- de la station
iNO3;Indice (0-100) du paramètre : NO3- de la station
iTEMPE;Indice (0-100) du paramètre : Température de la station
iPHMIN;Indice (0-100) du paramètre : pH min de la station
iPHMAX;Indice (0-100) du paramètre : pH max de la station
iILOX;Indice (0-100) du paramètre : ILOX
fIBD;Fréquence de prélèvement de l'IBD de la station
fIBG;Fréquence de prélèvement de l'IBG de la station
fIBGA;Fréquence de prélèvement de l'IBGA de la station
fIPR;Fréquence de prélèvement de l'IPR de la station
fO2;Fréquence de prélèvement du paramètre : O2 de la station
fSATO2;Fréquence de prélèvement du paramètre : Taux de saturation en O2 dissous de la station
fDBO5;Fréquence de prélèvement du paramètre : DBO5 de la station
fCOD;Fréquence de prélèvement du paramètre : COD de la station
fPO43;Fréquence de prélèvement du paramètre : PO43- de la station
fPHOS;Fréquence de prélèvement du paramètre : Phosphore total de la station
fNH4;Fréquence de prélèvement du paramètre : NH4+ de la station
fNO2;Fréquence de prélèvement du paramètre : NO2- de la station
fNO3;Fréquence de prélèvement du paramètre : NO3- de la station
fTEMPE;Fréquence de prélèvement du paramètre : Température de la station
fPHMIN;Fréquence de prélèvement du paramètre : pH min de la station
fPHMAX;Fréquence de prélèvement du paramètre : pH max de la station
fARSENIC;Fréquence de prélèvement du paramètre : Arsenic dissous de la station
fCHROME;Fréquence de prélèvement du paramètre : Chrome dissous de la station
fCUIVRE;Fréquence de prélèvement du paramètre : Cuivre dissous de la station
fZINC;Fréquence de prélèvement du paramètre : Zinc dissous de la station
fCHLORTOLURON;Fréquence de prélèvement du paramètre : Chlortoluron de la station
fOXADIAZON;Fréquence de prélèvement du paramètre : Oxadiazon de la station
fLINURON;Fréquence de prélèvement du paramètre : Linuron de la station
f24D;Fréquence de prélèvement du paramètre : 2,4 D de la station
f24MCPA;Fréquence de prélèvement du paramètre : 2,4 MCPA de la station
fCHLORDECONE;Fréquence de prélèvement du paramètre : Chlordécone de la station (uniquement en DOM)
fdO2;Fréquence de déclassement du paramètre : O2 de la station
fdSATO2;Fréquence de déclassement du paramètre : Taux de saturation en O2 dissous de la station
fdDBO5;Fréquence de déclassement du paramètre : DBO5 de la station
fdCOD;Fréquence de déclassement du paramètre : COD de la station
fdPO43;Fréquence de déclassement du paramètre : PO43- de la station
fdPHOS;Fréquence de déclassement du paramètre : Phosphore total de la station
fdNH4;Fréquence de déclassement du paramètre : NH4+ de la station
fdNO2;Fréquence de déclassement du paramètre : NO2- de la station
fdNO3;Fréquence de déclassement du paramètre : NO3- de la station
fdTEMPE;Fréquence de déclassement du paramètre : Température de la station
fdPHMIN;Fréquence de déclassement du paramètre : pH min de la station
fdPHMAX;Fréquence de déclassement du paramètre : pH max de la station
aARSENIC;Année retenue pour la moyenne du paramètre : Arsenic dissous de la station
aCHROME;Année retenue pour la moyenne du paramètre : Chrome dissous de la station
aCUIVRE;Année retenue pour la moyenne du paramètre : Cuivre dissous de la station
aZINC;Année retenue pour la moyenne du paramètre : Zinc dissous de la station
aCHLORTOLURON;Année retenue pour la moyenne du paramètre : Chlortoluron de la station
aOXADIAZON;Année retenue pour la moyenne du paramètre : Oxadiazon de la station
aLINURON;Année retenue pour la moyenne du paramètre : Linuron de la station
a24D;Année retenue pour la moyenne du paramètre : 2,4 D de la station
a24MCPA;Année retenue pour la moyenne du paramètre : 2,4 MCPA de la station
