NOM_COURT;NOM_LONG
NAME;Nom de la masse d'eau
EUCD;Numéro de la masse d'eau
ETATECOLOME;Etat Ecologique de la masse d'eau
ETATECOLOME_SSEXCEPTLOC;Etat Ecologique de la masse d'eau sans prise en compte des exceptions locales (COD, O2/SATO2)
ETATECOLOHPSME_SSEXCEPTLOC;Etat Ecologique (hors polluants spécifiques) de la masse d'eau sans prise en compte des exceptions locales (COD, O2/SATO2)
NIVEAU;Niveau de confiance de l'état écologique de la masse d'eau
CAS;Cas de figure expliquant le niveau de confiance
ETATECOLOHPSME;Etat Ecologique (hors polluants spécifiques) de la masse d'eau
ETATBIOME;Etat Biologique de la masse d'eau
ETATPCHME;Etat Physico-chimique de la masse d'eau (identique à l'état PCH de la station)
ETATPSME;Etat des Polluants spécifiques de la masse d'eau (identique à l'état PS de la station)
STATION;Identifiant de la station
STATIONTXT;"Identifiant de la Station au format SANDRE (""0"" + 7caractères)"
ETATECOLO;Etat Ecologique de la station
ETATECOLO_SSEXCEPTLOC;Etat Ecologique de la station sans prise en compte des exceptions locales (COD, O2/SATO2)
ETATECOLOHPS_SSEXCEPTLOC;Etat Ecologique (hors polluants spécifiques) de la station sans prise en compte des exceptions locales (COD, O2/SATO2)
ETATECOLOHPS;Etat Ecologique (hors polluants spécifiques) de la station
ETATECOLOHBO2;Etat Ecologique de la station (sans prise en compte du bilan O2)
ETATECOLOHPSETBO2;Etat Ecologique de la station (sans prise en compte des polluants spécifiques et du bilan O2)
ETATPCH_SSBILANO2;Etat Physico-chimique de la station (sans prise en compte du bilan O2)
ETATPCHSSEXCEPTLOC;Etat Physico-chimique de la station sans prise en compte des exceptions locales (COD, O2/SATO2)
ETATBIO;Etat Biologique de la station
ETATPCH;Etat Physico-chimique de la station
ETATPS;Etat des Polluants spécifiques de la station
IBD;Classe d'état de l'IBD de la station
IBG;Classe d'état de l'IBG de la station
IBGA;Classe d'état de l'IBGA de la station
IPR;Classe d'état de l'IPR de la station
IBMR;Classe d'état de l'IBMR de la station
IPLAC;Classe d'état de l'IPLAC de la station
IBML;Classe d'état de lIBML de la station
IIL;Classe d'état de l'IIL de la station
BILANO2;Classe d'état de l'élément de qualité : BILAN O2 de la station
NUT;Classe d'état de l'élément de qualité : NUTRIMENTS de la station
TRANSPA;Classe d'état de l'élément de qualité : TRANSPARENCE de la station
TEMP;Classe d'état de l'élément de qualité : TEMPERATURE de la station
ACID;Classe d'état de l'élément de qualité : ACIDIFICATION de la station
NONSYNTH;Classe d'état des polluants NON SYNTHETIQUES de la station
SYNTH;Classe d'état des polluants SYNTHETIQUES de la station
O2;Classe d'état du paramètre : O2 de la station
SATO2;Classe d'état du paramètre : Taux de saturation en O2 dissous de la station
DBO5;Classe d'état du paramètre : DBO5 de la station
COD;Classe d'état du paramètre : COD de la station
PO43;Classe d'état du paramètre : PO43- de la station
PHOS;Classe d'état du paramètre : Phosphore total de la station
NH4;Classe d'état du paramètre : NH4+ de la station
NO2;Classe d'état du paramètre : NO2- de la station
NO3;Classe d'état du paramètre : NO3- de la station
TEMPE;Classe d'état du paramètre : Température de la station
PHMIN;Classe d'état du paramètre : pH min de la station
PHMAX;Classe d'état du paramètre : pH max de la station
NO3V2;Classe d'état du paramètre : NO3- de la station selon la grille AESN
TRANSP;Classe d'état du paramètre : transparence de la station
ARSENIC;Classe d'état du paramètre : Arsenic dissous de la station
CHROME;Classe d'état du paramètre : Chrome dissous de la station
CUIVRE;Classe d'état du paramètre : Cuivre dissous de la station
ZINC;Classe d'état du paramètre : Zinc dissous de la station
CHLORTOLURON;Classe d'état du paramètre : Chlortoluron de la station
OXADIAZON;Classe d'état du paramètre : Oxadiazon de la station
24D;Classe d'état du paramètre : 2,4 D de la station
24MCPA;Classe d'état du paramètre : 2,4 MCPA de la station
METAZACHLORE;Classe d'état du paramètre : Metazachlore de la station
AMINOTRIAZOLE;Classe d'état du paramètre : Aminotriazole de la station
NICOSULFURON;Classe d'état du paramètre : Nicosulfuron de la station
AMPA;Classe d'état du paramètre : AMPA de la station
GLYPHOSATE;Classe d'état du paramètre : Glyphosate de la station
BENTAZONE;Classe d'état du paramètre : Bentazone de la station
DIFLUFENICANIL;Classe d'état du paramètre : Diflufenicanil de la station
CYPRODINIL;Classe d'état du paramètre : Cyprodinil de la station
IMIDACLOPRIDE;Classe d'état du paramètre : Imidaclopride de la station
IPRODIONE;Classe d'état du paramètre : Iprodione de la station
AZOXYSTROBINE;Classe d'état du paramètre : Azoxystrobine de la station
TOLUENE;Classe d'état du paramètre : Toluène de la station
PHOSPHATETRIB;Classe d'état du paramètre : Phosphate de tributyle de la station
BIPHENILE;Classe d'état du paramètre : Biphényle de la station
BOSCALID;Classe d'état du paramètre : Boscalid de la station
METALDEHYDE;Classe d'état du paramètre : Métaldéhyde de la station
TEBUCONAZOLE;Classe d'état du paramètre :Tebuconazole de la station
CHLORPROPHAME;Classe d'état du paramètre : Chlorprophame de la station
XYLENE;Classe d'état du paramètre : Xylène de la station
PENDIMETHALINE;Classe d'état du paramètre : Pendiméthaline de la station
CHLORDECONE;Classe d'état du paramètre : Chlordécone de la station (uniquement en DOM)
ASSOUPLI;Physico-chimie de la station assouplie
MODELISE;Physico-chimie de la station modélisée
NBINDICBIO;Niombre d'indicateurs biologiques présents
LISTINDICBIO;Liste des indicateurs biologiques présents
BIODECLASS;Liste des paramètres Biologiques déclassants
N_BIODECLASS;Nombre de paramètres bio déclassants
PCHDECLASS;Liste des paramètres physicochimiques déclassants (= moins que bon)
N_PCHDECLASS;Nombre de paramètres physicochimiques déclassants  (= moins que bon)
PCHASSOUP;Liste des paramètres physicochimiques déclassants assouplis  (= moins que bon)
N_PCHASSOUP;Nombre de paramètres physicochimiques déclassants  assouplis  (= moins que bon)
PSDECLASS;Liste des paramètres des polluants spécifiques déclassants  (= moins que bon)
N_PSDECLASS;Nombre de paramètres des polluants spécifiques déclassants  (= moins que bon)
ECODECLASS;Liste des paramètres Bio, PCH et PS déclassants  (= moins que bon)
N_ECODECLASS;Nombre de paramètres Bio, PCH et PS déclassants  (= moins que bon)
ECO_ORIGINDECLASS;Liste des paramètres Bio, PCH et PS déclassants  (= moins que bon et qui explique l'état)
N_ECO_ORIGINDECLASS;Nombre de paramètres Bio, PCH et PS déclassants  (= moins que bon  et qui explique l'état)
ANNEEMINPCH;Année minimale du jeu de données physico-chimiques
ANNEEMAXPCH;Année maximale du jeu de données physico-chimiques
ANNEEMINBIO;Année minimale du jeu de données biologiques
ANNEEMAXBIO;Année maximale du jeu de données biologiques
ANNEEMINPS;Année minimale du jeu de données des polluants spécifiques
ANNEEMAXPS;Année maximale du jeu de données polluants spécifiques
DOMAINE;Domaine piscicole de la station
TYPEFR;TYPE FR de la station
TYPESTAT;Type de station (MEFM, MEA, MEN) selon sa masse d'eau de rattachement
ALTITUDE;Altitude de la station en mètre
REPRESENTATIVE;Station représentative de la masse d'eau
EXCEPT_FROID;Exception typologique : station naturellement froide et peu alcaline
EXCEPT_CHAUD;Exception typologique : station naturellement chaude (HER6 et DOM)
EXCEPT_ACID;Exception typologique : station naturellement acide
EXCEPT_MO;Exception typologique : station naturellement riche en matière organique
EXCEPT_TOURB;Exception typologique : station en zone de tourbière
EXCEPT_O2;Exception typologique : station naturellement pauvre en O2
ECHELLESTA;Echelle géographique d'appartenance de la station
FONDGEO_ARSENIC;Valeur du fond géochimique : Arsenic
FONDGEO_CHROME;Valeur du fond géochimique : Chrome
FONDGEO_CUIVRE;Valeur du fond géochimique : Cuivre
FONDGEO_ZINC;Valeur du fond géochimique : Zinc
DURETE;Valeur de dureté
MODIFIED;Masse d'eau fortement modifiée (MEFM)
ARTIFICIAL;Masse d'eau artificielle (MEA)
ECHELLEME;Echelle géographique d'appartenance de la masse d'eau
RGLOBAL;Risque global de la masse d'eau
RMACRO;Risque macropolluants de la masse d'eau
RNIT;Risque nitrates de la masse d'eau
RPEST;Risque pesticides de la masse d'eau
RMICRO;Risque micropolluants de la masse d'eau
RMORPHO;Risque morphologique de la masse d'eau
RHYDRO;Risque hydrologique de la masse d'eau
RPHOS;Risque phosphore total de la masse d'eau
TYPEME;Type de masse d'eau (MEFM, MEA, MEN) déduit de MODIFIED et ARTIFICIAL
vIBD;Valeur moyenne de l'IBD de la station
vIBG;Valeur moyenne de l'IBG de la station
vIBGA;Valeur moyenne de l'IBGA de la station
vIPR;Valeur moyenne de l'IPR de la station
vI2M2;Valeur moyenne de l'I2M2 de la station
vIPRPLUS;Valeur moyenne de l'IPR+ de la station
vIBMR;Valeur moyenne de l'IBMR de la station
vIPLAC;Valeur moyenne de l'IPLAC de la station
vIBML;Valeur moyenne de l'IBML de la station
vIIL;Valeur moyenne de l'IIL de la station
vO2;Valeur au rang 90 du paramètre : O2 de la station
vSATO2;Valeur au rang 90 du paramètre : Taux de saturation en O2 dissous de la station
vDBO5;Valeur au rang 90 du paramètre : DBO5 de la station
vCOD;Valeur au rang 90 du paramètre : COD de la station
vPO43;Valeur au rang 90 du paramètre : PO43- de la station
vPHOS;Valeur au rang 90 du paramètre : Phosphore total de la station (Valeur médiane pour les Plan d'eau)
vNH4;Valeur au rang 90 du paramètre : NH4+ de la station (Valeur maximale pour les Plan d'eau)
vNO2;Valeur au rang 90 du paramètre : NO2- de la station
vNO3;Valeur au rang 90 du paramètre : NO3- de la station (Valeur maximale pour les Plan d'eau)
vTEMPE;Valeur au rang 90 du paramètre : Température de la station
vPHMIN;Valeur au rang 90 du paramètre : pH min de la station
vPHMAX;Valeur au rang 90 du paramètre : pH max de la station
vTRANSP;Valeur médiane de la Profondeur du disque de Secchi de la station
vARSENIC;Valeur moyenne du paramètre : Arsenic dissous de la station
vCHROME;Valeur moyenne du paramètre : Chrome dissous de la station
vCUIVRE;Valeur moyenne du paramètre : Cuivre dissous de la station
vZINC;Valeur moyenne du paramètre : Zinc dissous de la station
vCHLORTOLURON;Valeur moyenne du paramètre : Chlortoluron de la station
vOXADIAZON;Valeur moyenne du paramètre : Oxadiazon de la station
v24D;Valeur moyenne du paramètre : 2,4 D de la station
v24MCPA;Valeur moyenne du paramètre : 2,4 MCPA de la station
vMETAZACHLORE;Valeur moyenne du paramètre : Metazachlore de la station
vAMINOTRIAZOLE;Valeur moyenne du paramètre : Aminotriazole de la station
vNICOSULFURON;Valeur moyenne du paramètre : Nicosulfuron de la station
vAMPA;Valeur moyenne du paramètre : AMPA de la station
vGLYPHOSATE;Valeur moyenne du paramètre : Glyphosate de la station
vBENTAZONE;Valeur moyenne du paramètre : Bentazone de la station
vDIFLUFENICANIL;Valeur moyenne du paramètre : Diflufenicanil de la station
vCYPRODINIL;Valeur moyenne du paramètre : Cyprodinil de la station
vIMIDACLOPRIDE;Valeur moyenne du paramètre : Imidaclopride de la station
vIPRODIONE;Valeur moyenne du paramètre : Iprodione de la station
vAZOXYSTROBINE;Valeur moyenne du paramètre : Azoxystrobine de la station
vTOLUENE;Valeur moyenne du paramètre : Toluène de la station
vPHOSPHATETRIB;Valeur moyenne du paramètre : Phosphate de tributyle de la station
vBIPHENILE;Valeur moyenne du paramètre : Biphényle de la station
vBOSCALID;Valeur moyenne du paramètre : Boscalid de la station
vMETALDEHYDE;Valeur moyenne du paramètre : Métaldéhyde de la station
vTEBUCONAZOLE;Valeur moyenne du paramètre :Tebuconazole de la station
vCHLORPROPHAME;Valeur moyenne du paramètre : Chlorprophame de la station
vXYLENE;Valeur moyenne du paramètre : Xylène de la station
vPENDIMETHALINE;Valeur moyenne du paramètre : Pendiméthaline de la station
vCHLORDECONE;Valeur moyenne du paramètre : Chlordécone de la station (uniquement aux Caraïbes)
eqrIBD;Valeur en EQR de l'IBD de la station
eqrIBG;Valeur en EQR de l'IBG de la station
eqrIBGA;Valeur en EQR de l'IBGA de la station
eqrIPR;Valeur en EQR de l'IPR de la station (actuellement n'existe pas!)
eqrIBMR;Valeur en EQR de l'IBMR de la station
iETATECOLOHPS;Indice (0-100) de l'état écologique hors polluant spécifique (Indice le plus déclassant des états)
iETATBIO;Indice (0-100) de l'état biologique (Indice le plus déclassant des indicateurs)
iIBD;Indice (0-100) de l'IBD de la station
iIBG;Indice (0-100) de l'IBG de la station
iIBGA;Indice (0-100) de l'IBGA de la station
iIPR;Indice (0-100) de l'IPR de la station
vI2M2;Indice (0-100) de l'I2M2 de la station
vIPRPLUS;Indice (0-100) de l'IPR+ de la station
iIBMR;Indice (0-100) de l'IBMR de la station
QUARTCLASSE;L'état biologique peut-il bénéficier de la règle du 1/4 de classe ?
iETATPCH;Indice (0-100) de l'état physico-chimique (Indice le plus déclassant des paramètres)
iBILANO2;Indice (0-100) le plus déclassant de l'élément de qualité : Bilan de l'oxygène
iNUT;Indice (0-100) le plus déclassant de l'élément de qualité : Nutriments
iTEMP;Indice (0-100) le plus déclassant de l'élément de qualité :Température
iACID;Indice (0-100) le plus déclassant de l'élément de qualité : Acidification
iO2;Indice (0-100) du paramètre : O2 de la station
iSATO2;Indice (0-100) du paramètre : Taux de saturation en O2 dissous de la station
iDBO5;Indice (0-100) du paramètre : DBO5 de la station
